Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,00:00,140.11852140170694,8.160983790118784,0.05824343354810313,274.63584778521033,216.81953022752606,12.628313900737853,0.05824343354810313,274.63584778521033,107.23705004097219,6.245853997955974,0.05824343354810313,274.63584778521033,174.53060693767492,10.165261807284576,0.05824343354810313,274.63584778521033
August,1,00:30,136.2174931466038,7.695948506484368,0.05649750504659206,277.84058221069955,235.87739196060238,13.326484142671106,0.05649750504659206,277.84058221069955,100.5679511791657,5.681838329270338,0.05649750504659206,277.84058221069955,184.19779099124864,10.40671562609918,0.05649750504659206,277.84058221069955
August,1,01:00,131.99117751174828,7.1605617862125035,0.054250306128037655,281.0587502269674,246.21001213464982,13.356968530092619,0.054250306128037655,281.0587502269674,95.1424933575738,5.161509390433168,0.054250306128037655,281.0587502269674,188.50178020653104,10.226279281884377,0.054250306128037655,281.0587502269674
August,1,01:30,128.68726783256025,6.697543443493241,0.052045113369006024,283.6293122399327,247.63855162862217,12.888376494048092,0.052045113369006024,283.6293122399327,92.20418588753162,4.798777307613489,0.052045113369006024,283.6293122399327,187.6953141361111,9.768623903045102,0.052045113369006024,283.6293122399327
August,1,02:00,127.11211958279426,6.410741332024175,0.05043375370551153,285.0482481770742,241.14151358044566,12.16167170409046,0.05043375370551153,285.0482481770742,92.3312448237418,4.65661126076388,0.05043375370551153,285.0482481770742,182.59813060339715,9.209109145938559,0.05043375370551153,285.0482481770742
August,1,02:30,127.44212824988315,6.352220036502842,0.04984395759656239,285.067995445778,228.55426545733022,11.392049115968632,0.04984395759656239,285.067995445778,95.30808532479405,4.750532163538585,0.04984395759656239,285.067995445778,174.37146838705254,8.691364076334567,0.04984395759656239,285.067995445778
August,1,03:00,129.20188019934832,6.521228464018299,0.05047317000307238,283.73681031435933,212.15860875461283,10.708317527286894,0.05047317000307238,283.73681031435933,100.18836053012295,5.056824153366002,0.05047317000307238,283.73681031435933,164.27233954293746,8.291345720553112,0.05047317000307238,283.73681031435933
August,1,03:30,131.4118534313893,6.864418288131705,0.052235914104321254,281.37168991187167,194.25785225267228,10.147236484360517,0.052235914104321254,281.37168991187167,105.53274045412032,5.5125991655550575,0.052235914104321254,281.37168991187167,153.44316039117172,8.015243746088835,0.052235914104321254,281.37168991187167
August,1,04:00,132.86574166445672,7.278207863555451,0.054778664329711596,278.47435673299475,176.82628366375215,9.686307637487044,0.054778664329711596,278.47435673299475,109.7621707743296,6.012625108947482,0.054778664329711596,278.47435673299475,142.77742230179632,7.821156490131579,0.054778664329711596,278.47435673299475
August,1,04:30,132.46530664932584,7.624614615796584,0.05755933239169675,275.6127872280818,161.29499690518858,9.284032339983447,0.05755933239169675,275.6127872280818,111.53994646747725,6.420164853673585,0.05755933239169675,275.6127872280818,132.8783465576912,7.648388917173222,0.05755933239169675,275.6127872280818
August,1,05:00,129.5271391067753,7.768031965497226,0.05997223453761047,273.2977268958152,148.49664288528692,8.905675495164212,0.05997223453761047,273.2977268958152,110.09031372109897,6.602362114800863,0.05997223453761047,273.2977268958152,124.10152880133569,7.442645991749725,0.05997223453761047,273.2977268958152
August,1,05:30,123.98406792324329,7.623529932659517,0.06148798035388815,271.88305427251277,138.75051067704214,8.531488674601915,0.06148798035388815,271.88305427251277,105.37860795305593,6.479517775537585,0.06148798035388815,271.88305427251277,116.65133836052387,7.172655201366651,0.06148798035388815,271.88305427251277
August,1,06:00,116.43176735237967,7.192462166213553,0.06177405299058661,271.5111808129942,132.03698937611355,8.15645997843756,0.06177405299058661,271.5111808129942,98.11343322962777,6.060864423415407,0.06177405299058661,271.5111808129942,110.68964287418704,6.837747864419138,0.06177405299058661,271.5111808129942
August,1,06:30,108.01095333656858,6.563487920943071,0.06076687334191794,272.1121527707279,128.19463260438735,7.7899870025845095,0.06076687334191794,272.1121527707279,89.57580783470948,5.443241769191771,0.06076687334191794,272.1121527707279,106.41670268739577,6.466610293669517,0.06076687334191794,272.1121527707279
August,1,07:00,100.15701185194368,5.877066690599211,0.05867853465204152,273.4511768022171,127.07670279710482,7.456674708547097,0.05867853465204152,273.4511768022171,81.32214597881209,4.771864360796104,0.05867853465204152,273.4511768022171,104.09676667279744,6.108245730375226,0.05867853465204152,273.4511768022171
